gics_sector,firmen,heute,mit_neuen,pct_heute,pct_neu
Utilities,31,28,31,90.32258064516128,100.0
Materials,25,20,25,80.0,100.0
Energy,21,16,20,76.19047619047619,95.23809523809523
Consumer Staples,34,16,32,47.05882352941176,94.11764705882352
Industrials,83,27,74,32.53012048192771,89.1566265060241
Health Care,59,13,48,22.033898305084744,81.35593220338984
Consumer Discretionary,47,5,28,10.638297872340425,59.57446808510638
Information Technology,73,12,36,16.43835616438356,49.31506849315068
Communication Services,24,4,11,16.666666666666664,45.83333333333333
Real Estate,30,3,12,10.0,40.0
Financials,76,13,19,17.105263157894736,25.0
