gics_sector,firmen,epa,sbti,sec_volltext,vereinigung,epa_pct,union_pct
Materials,25,20,12,20,25,80.0,100.0
Energy,21,16,0,17,20,76.19047619047619,95.23809523809523
Consumer Staples,34,16,26,19,32,47.05882352941176,94.11764705882352
Utilities,31,28,6,25,29,90.32258064516128,93.54838709677419
Real Estate,30,3,20,19,27,10.0,90.0
Health Care,59,13,41,16,50,22.033898305084744,84.7457627118644
Information Technology,73,12,50,25,60,16.43835616438356,82.1917808219178
Consumer Discretionary,47,5,28,19,36,10.638297872340425,76.59574468085107
Industrials,83,27,30,37,59,32.53012048192771,71.08433734939759
Communication Services,24,4,12,5,13,16.666666666666664,54.166666666666664
Financials,76,13,16,13,34,17.105263157894736,44.73684210526316
