gics_sector,firmen_gesamt,firmen_mit_daten,scope1_t,abdeckung_pct
Utilities,31,28,664581782.4975284,90.32258064516128
Materials,25,20,125144513.86136,80.0
Energy,21,16,187745082.05446526,76.19047619047619
Consumer Staples,34,16,16962863.384144,47.05882352941176
Industrials,83,27,31773523.501764,32.53012048192771
Health Care,59,13,1306935.1479,22.033898305084744
Financials,76,13,60153685.2483258,17.105263157894736
Communication Services,24,4,124123.35998000001,16.666666666666664
Information Technology,73,12,5267525.1661392,16.43835616438356
Consumer Discretionary,47,5,1260414.608,10.638297872340425
Real Estate,30,3,97367.52254929999,10.0
