ticker,geometrisch,additiv,differenz,company,gics_sector
AAPL,8.333333333333332,8.333333333333332,0.0,Apple Inc.,Information Technology
ABBV,92.3076923076923,84.61538461538461,7.692307692307693,AbbVie,Health Care
ABT,46.15384615384615,23.076923076923077,23.076923076923077,Abbott Laboratories,Health Care
ADI,33.33333333333333,41.66666666666667,-8.333333333333343,Analog Devices,Information Technology
ADM,12.5,12.5,0.0,Archer Daniels Midland,Consumer Staples
AEE,46.42857142857143,50.0,-3.5714285714285694,Ameren,Utilities
AEP,17.857142857142858,17.857142857142858,0.0,American Electric Power,Utilities
AES,57.14285714285714,57.14285714285714,0.0,AES Corporation,Utilities
ALB,90.0,90.0,0.0,Albemarle Corporation,Materials
AMGN,7.6923076923076925,7.6923076923076925,0.0,Amgen,Health Care
AMT,66.66666666666666,66.66666666666666,0.0,American Tower,Real Estate
APD,20.0,20.0,0.0,Air Products,Materials
ARES,7.6923076923076925,7.6923076923076925,0.0,Ares Management,Financials
ATO,82.14285714285714,82.14285714285714,0.0,Atmos Energy,Utilities
AVGO,100.0,100.0,0.0,Broadcom,Information Technology
AXP,88.46153846153845,76.92307692307693,11.538461538461519,American Express,Financials
AZO,100.0,100.0,0.0,AutoZone,Consumer Discretionary
BA,18.51851851851852,22.22222222222222,-3.7037037037037024,Boeing,Industrials
BALL,65.0,65.0,0.0,Ball Corporation,Materials
BAX,100.0,100.0,0.0,Baxter International,Health Care
BF-B,18.75,18.75,0.0,Brown–Forman,Consumer Staples
BG,31.25,31.25,0.0,Bunge Global,Consumer Staples
BIIB,15.384615384615385,15.384615384615385,0.0,Biogen,Health Care
BLK,61.53846153846154,61.53846153846154,0.0,BlackRock,Financials
BMY,76.92307692307693,69.23076923076923,7.692307692307708,Bristol Myers Squibb,Health Care
BRK-B,38.46153846153847,38.46153846153847,0.0,Berkshire Hathaway,Financials
BRO,53.84615384615385,53.84615384615385,0.0,Brown & Brown,Financials
CARR,92.5925925925926,92.5925925925926,0.0,Carrier Global,Industrials
CASY,56.25,56.25,0.0,Casey's,Consumer Staples
CAT,66.66666666666666,66.66666666666666,0.0,Caterpillar Inc.,Industrials
CEG,92.85714285714286,92.85714285714286,0.0,Constellation Energy,Utilities
CF,15.0,15.0,0.0,CF Industries,Materials
