ticker,p10,p50,p90,band_width,share_top_quintile,share_bottom_quintile,company,gics_sector,gics_sub_industry,match_confidence
ABBV,70.0,100.0,100.0,30.0,85.46666666666667,1.9333333333333333,AbbVie,Health Care,Biotechnology,1.0
AVGO,77.77777777777779,100.0,100.0,22.222222222222214,89.86666666666666,0.4,Broadcom,Information Technology,Semiconductors,1.0
DVN,85.71428571428571,100.0,100.0,14.285714285714292,94.53333333333333,0.0,Devon Energy,Energy,Oil & Gas Exploration & Production,0.9955682684973303
EXC,92.85714285714286,100.0,100.0,7.142857142857139,100.0,0.0,Exelon,Utilities,Electric Utilities,1.0
GOOGL,100.0,100.0,100.0,0.0,94.0,0.0,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1.0
MGM,50.0,100.0,100.0,50.0,59.86666666666667,0.0,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1.0
KHC,92.3076923076923,100.0,100.0,7.692307692307693,96.39999999999999,0.0,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,1.0
WY,100.0,100.0,100.0,0.0,100.0,0.0,Weyerhaeuser,Real Estate,Timber REITs,1.0
NEM,94.44444444444444,100.0,100.0,5.555555555555557,99.66666666666667,0.0,Newmont,Materials,Gold,1.0
WFC,85.71428571428571,100.0,100.0,14.285714285714292,99.33333333333333,0.0,Wells Fargo,Financials,Diversified Banks,1.0
PEG,92.85714285714286,96.29629629629629,100.0,7.142857142857139,100.0,0.0,Public Service Enterprise Group,Utilities,Electric Utilities,1.0
CTVA,83.33333333333334,94.44444444444444,100.0,16.666666666666657,98.4,0.0,Corteva,Materials,Fertilizers & Agricultural Chemicals,1.0
NRG,85.18518518518519,92.5925925925926,100.0,14.81481481481481,92.53333333333333,0.0,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1.0
MO,76.92307692307693,91.66666666666666,92.3076923076923,15.384615384615373,79.46666666666667,0.0,Altria,Consumer Staples,Tobacco,1.0
CNP,77.77777777777779,90.0,100.0,22.222222222222214,78.33333333333333,0.0,CenterPoint Energy,Utilities,Multi-Utilities,1.0
