ticker,year,scope1_t,n_facilities,match_confidence,revenue_musd,co2_intensity,company,gics_sector,gics_sub_industry
AAPL,2018,230912.39,1,0.9,265595.0,0.8694154257422015,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AAPL,2019,275849.27999999997,1,0.9,260174.0,1.0602492178311436,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AAPL,2020,289219.188,1,0.9,274515.0,1.0535642423911262,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AAPL,2021,300652.5,1,0.9,365817.0,0.821865850958266,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AAPL,2022,260303.696,1,0.9,394328.0,0.6601197378831836,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AAPL,2023,287870.94399999996,1,0.9,383285.0,0.7510623791695473,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,2018,154504.092,2,1.0,32753.0,4.717250083961774,AbbVie,Health Care,Biotechnology
ABBV,2019,154325.934,2,1.0,33266.0,4.639149101184393,AbbVie,Health Care,Biotechnology
ABBV,2020,128416.176,2,1.0,45804.0,2.803601781503799,AbbVie,Health Care,Biotechnology
ABBV,2021,128081.35,2,1.0,56197.0,2.2791492428421445,AbbVie,Health Care,Biotechnology
ABBV,2022,106306.57800000001,2,1.0,58054.0,1.8311671547180213,AbbVie,Health Care,Biotechnology
ABBV,2023,99777.824,2,1.0,54318.0,1.8369200633307559,AbbVie,Health Care,Biotechnology
ABT,2018,114188.668,4,1.0,30578.0,3.734340637059324,Abbott Laboratories,Health Care,Health Care Equipment
ABT,2019,113542.67199999999,4,1.0,31904.0,3.558885155466399,Abbott Laboratories,Health Care,Health Care Equipment
ABT,2020,111891.528,4,1.0,34608.0,3.233111650485437,Abbott Laboratories,Health Care,Health Care Equipment
ABT,2021,135897.736,5,1.0,43075.0,3.154909715612304,Abbott Laboratories,Health Care,Health Care Equipment
ABT,2022,138440.828,5,1.0,43653.0,3.1713932146702404,Abbott Laboratories,Health Care,Health Care Equipment
ABT,2023,134386.892,5,1.0,40109.0,3.3505420728514794,Abbott Laboratories,Health Care,Health Care Equipment
ADI,2018,47632.628378999994,2,1.0,6224.689,7.652210155238277,Analog Devices,Information Technology,Semiconductors
ADI,2019,51711.290576,2,1.0,5991.065,8.631402025516332,Analog Devices,Information Technology,Semiconductors
ADI,2020,45912.222379,2,1.0,5603.056,8.1941394801337,Analog Devices,Information Technology,Semiconductors
ADI,2021,125755.58882,3,1.0,7318.286,17.183748875078127,Analog Devices,Information Technology,Semiconductors
ADI,2022,137478.719763,3,1.0,12013.953,11.443254336270503,Analog Devices,Information Technology,Semiconductors
ADI,2023,117771.628108,3,1.0,12305.539,9.570619223424508,Analog Devices,Information Technology,Semiconductors
ADM,2018,12341043.802,18,1.0,64341.0,191.8068385943644,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADM,2019,12388842.804000001,19,1.0,64656.0,191.61164940608762,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADM,2020,11271635.582,19,1.0,64355.0,175.14778310931553,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADM,2021,11235810.822,19,1.0,85249.0,131.79991345353025,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADM,2022,11371895.922,19,1.0,27606.0,411.93566333405784,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADM,2023,10585367.606,19,1.0,25691.0,412.0262973804056,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
AEE,2018,29503097.858,17,1.0,6291.0,4689.731021777142,Ameren,Utilities,Multi-Utilities
AEE,2019,24314880.236,17,1.0,5910.0,4114.192933333334,Ameren,Utilities,Multi-Utilities
AEE,2020,25861848.5704,17,1.0,5794.0,4463.5568813255095,Ameren,Utilities,Multi-Utilities
AEE,2021,28088791.7104,17,1.0,6394.0,4392.9921348764465,Ameren,Utilities,Multi-Utilities
AEE,2022,24863597.130400002,17,1.0,7957.0,3124.745146462235,Ameren,Utilities,Multi-Utilities
AEE,2023,19790344.651600003,17,1.0,7500.0,2638.7126202133336,Ameren,Utilities,Multi-Utilities
AEP,2018,69276850.80257602,36,0.9986111111111112,16195.7,4277.484196581563,American Electric Power,Utilities,Electric Utilities
AEP,2019,70598121.71106692,38,0.9986842105263158,15561.4,4536.746161082352,American Electric Power,Utilities,Electric Utilities
AEP,2020,54558076.81000574,38,0.9986842105263158,14918.5,3657.0752294135295,American Electric Power,Utilities,Electric Utilities
AEP,2021,63339625.0421942,39,0.9987179487179488,16792.0,3772.011972498464,American Electric Power,Utilities,Electric Utilities
AEP,2022,59981582.7240706,39,0.9987179487179488,19391.7,3093.1575222425367,American Electric Power,Utilities,Electric Utilities
AEP,2023,50202912.0739422,38,0.9986842105263158,19456.0,2580.330595905746,American Electric Power,Utilities,Electric Utilities
AES,2018,21093083.80498,17,1.0,10736.0,1964.7060176024588,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AES,2019,19586036.164,16,1.0,10189.0,1922.2726630680147,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AES,2020,16834812.390159998,17,1.0,9660.0,1742.734201879917,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AES,2021,19500129.538,17,1.0,11141.0,1750.3033424288662,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AES,2022,19517551.346,17,1.0,12617.0,1546.9248907030199,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AES,2023,15564412.834,17,1.0,12668.0,1228.6401037259236,AES Corporation,Utilities,Independent Power Producers & Energy Traders
ALB,2018,239550.47999999998,4,1.0,3374.95,70.97897154031911,Albemarle Corporation,Materials,Specialty Chemicals
ALB,2019,242638.72000000003,4,1.0,3589.427,67.598176533469,Albemarle Corporation,Materials,Specialty Chemicals
ALB,2020,238652.484,4,1.0,3128.909,76.27338602688668,Albemarle Corporation,Materials,Specialty Chemicals
ALB,2021,230764.11199999996,4,1.0,3327.957,69.34107381796098,Albemarle Corporation,Materials,Specialty Chemicals
ALB,2022,236979.24200000003,4,1.0,7320.104,32.37375343301134,Albemarle Corporation,Materials,Specialty Chemicals
ALB,2023,229671.722,4,1.0,9617.203,23.88134283949294,Albemarle Corporation,Materials,Specialty Chemicals
