ticker,anlagen,strafen_usd,inspektionen,verstossquartale,schwere_verstoesse,company,gics_sector
ABBV,1,0,7,0,0,AbbVie,Health Care
ABT,5,0,4,17,0,Abbott Laboratories,Health Care
ADI,3,0,3,1,0,Analog Devices,Information Technology
ADM,19,279043,92,79,4,Archer Daniels Midland,Consumer Staples
AEE,16,10500,27,21,0,Ameren,Utilities
AEP,37,0,68,27,1,American Electric Power,Utilities
AES,16,58300,58,70,4,AES Corporation,Utilities
ALB,3,37555,9,6,0,Albemarle Corporation,Materials
AMGN,2,0,3,0,0,Amgen,Health Care
APA,10,0,0,0,0,APA Corporation,Energy
APD,27,44063,31,24,1,Air Products,Materials
ATO,11,0,0,0,0,Atmos Energy,Utilities
AVGO,1,0,6,0,0,Broadcom,Information Technology
AZO,1,25200,0,0,0,AutoZone,Consumer Discretionary
BA,4,9575,18,24,1,Boeing,Industrials
BAX,1,4700,3,0,0,Baxter International,Health Care
BF-B,2,51200,15,7,0,Brown–Forman,Consumer Staples
BG,11,132218,40,26,2,Bunge Global,Consumer Staples
BIIB,1,0,0,0,0,Biogen,Health Care
BMY,3,0,7,12,1,Bristol Myers Squibb,Health Care
BRK-B,125,1434886,266,144,3,Berkshire Hathaway,Financials
CAG,3,126218,21,6,0,,
CARR,1,0,2,0,0,Carrier Global,Industrials
CAT,8,0,18,24,0,Caterpillar Inc.,Industrials
CE,3,363894,16,13,0,,
CEG,67,287095,147,83,6,Constellation Energy,Utilities
CF,5,23112,17,14,1,CF Industries,Materials
CMS,17,75000,44,32,1,CMS Energy,Utilities
CNP,14,0,0,0,0,CenterPoint Energy,Utilities
COP,7,0,14,8,0,ConocoPhillips,Energy
CPB,4,47539,10,2,0,,
CTRA,3,13977,2,18,2,,
CTVA,2,157080,16,24,2,Corteva,Materials
CVX,29,16932580,105,114,5,Chevron Corporation,Energy
D,68,35404,127,34,1,Dominion Energy,Utilities
DAL,2,86480,23,12,1,Delta Air Lines,Industrials
DD,17,7381763,82,72,2,DuPont,Industrials
DE,2,0,7,1,0,Deere & Company,Industrials
DIS,1,0,0,0,0,Walt Disney Company (The),Communication Services
DOW,17,10571513,109,117,6,Dow Inc.,Materials
DTE,31,100160386,56,61,2,DTE Energy,Utilities
DUK,52,31961,143,97,1,Duke Energy,Utilities
DVN,9,29811,7,7,0,Devon Energy,Energy
ED,9,1300,31,9,0,Consolidated Edison,Utilities
EIX,6,0,9,0,0,Edison International,Utilities
EMN,9,451717,53,40,1,,
EOG,19,0,5,0,0,EOG Resources,Energy
EQT,15,0,3,0,0,EQT Corporation,Energy
ES,4,0,0,0,0,Eversource Energy,Utilities
ETR,48,30000,67,32,1,Entergy,Utilities
EVRG,18,120000,51,10,0,Evergy,Utilities
EXC,25,18000,52,34,1,Exelon,Utilities
EXE,19,0,31,0,0,Expand Energy,Energy
F,15,0,39,33,1,Ford Motor Company,Consumer Discretionary
FANG,1,0,0,0,0,Diamondback Energy,Energy
FCX,9,0,16,14,1,Freeport-McMoRan,Materials
FE,19,1525000,37,47,1,FirstEnergy,Utilities
GE,13,0,49,25,0,GE Aerospace,Industrials
GIS,3,0,7,8,0,General Mills,Consumer Staples
GLW,6,301760,28,16,0,Corning Inc.,Information Technology
GM,17,633731,62,27,1,General Motors,Consumer Discretionary
HAL,2,0,0,0,0,Halliburton,Energy
HES,6,269572,13,11,0,,
HII,1,0,7,6,1,Huntington Ingalls Industries,Industrials
HON,9,0,31,27,2,Honeywell Technologies,Industrials
HPQ,1,0,1,0,0,HP Inc.,Information Technology
HRL,1,11846,3,0,0,Hormel Foods,Consumer Staples
HWM,3,17000,10,22,1,Howmet Aerospace,Industrials
IFF,6,75000,22,8,0,International Flavors & Fragrances,Materials
INTC,8,0,20,11,0,Intel,Information Technology
IP,35,1976050,165,70,3,International Paper,Materials
JCI,1,0,3,12,1,Johnson Controls,Industrials
KHC,4,12600,8,4,0,Kraft Heinz,Consumer Staples
KKR,1,0,0,0,0,KKR & Co.,Financials
KMB,10,29118,57,41,2,Kimberly-Clark,Consumer Staples
KMI,213,47310,205,24,1,Kinder Morgan,Energy
L,47,1500,42,8,1,Loews Corporation,Financials
LII,1,0,0,0,0,Lennox International,Industrials
LIN,27,409533,42,47,1,Linde plc,Materials
LLY,2,0,0,0,0,Lilly (Eli),Health Care
LMT,4,0,37,25,1,Lockheed Martin,Industrials
LNT,20,14576,26,36,0,Alliant Energy,Utilities
LYB,11,13714812,51,79,3,LyondellBasell,Materials
MCHP,4,30541,4,2,0,Microchip Technology,Information Technology
MDLZ,1,0,2,0,0,Mondelez International,Consumer Staples
MGM,1,0,0,0,0,MGM Resorts,Consumer Discretionary
MLM,6,4000,46,15,0,Martin Marietta Materials,Materials
MMM,10,3612284,54,52,4,3M,Industrials
MO,2,0,5,1,0,Altria,Consumer Staples
MOS,9,20730,22,23,1,Mosaic Company (The),Materials
MPC,87,34809645,218,171,11,Marathon Petroleum,Energy
MRK,4,16400,52,21,0,Merck & Co.,Health Care
MS,3,0,0,0,0,Morgan Stanley,Financials
MU,3,157101,6,2,0,Micron Technology,Information Technology
NEE,28,8710,82,25,1,NextEra Energy,Utilities
NEM,2,0,8,1,0,Newmont,Materials
NI,10,7450,21,13,1,NiSource,Utilities
NOC,4,44000,98,31,2,Northrop Grumman,Industrials
NRG,48,287613,122,66,2,NRG Energy,Utilities
NSC,1,598000,6,2,0,Norfolk Southern,Industrials
NUE,25,287934,166,107,2,Nucor,Materials
NXPI,3,0,3,0,0,NXP Semiconductors,Information Technology
OKE,43,620420,31,12,0,Oneok,Energy
OXY,69,972591,111,39,2,Occidental Petroleum,Energy
PCG,11,10000,17,0,0,PG&E Corporation,Utilities
PEG,15,57976,31,50,1,Public Service Enterprise Group,Utilities
PEP,11,60713,38,30,1,PepsiCo,Consumer Staples
PFE,5,119696,18,17,0,Pfizer,Health Care
PG,10,24713,47,34,0,Procter & Gamble,Consumer Staples
PKG,9,2510230,40,23,1,Packaging Corporation of America,Materials
PNW,8,2319,23,4,0,Pinnacle West Capital,Utilities
POR,8,0,4,11,0,,
PPG,3,803060,23,21,1,PPG Industries,Materials
PPL,10,750000,29,3,0,PPL Corporation,Utilities
PSX,58,37928973,209,172,10,Phillips 66,Energy
QCOM,2,0,0,0,0,Qualcomm,Information Technology
RSG,184,810092,403,351,10,Republic Services,Industrials
RTX,3,8125,25,6,0,RTX Corporation,Industrials
SO,49,40975,204,61,1,Southern Company,Utilities
SRE,16,0,46,18,2,Sempra,Utilities
STLD,10,39200,38,33,1,Steel Dynamics,Materials
SW,34,188754,131,114,1,Smurfit Westrock,Materials
SWKS,2,0,3,11,0,Skyworks Solutions,Information Technology
T,1,0,1,0,0,AT&T,Communication Services
TAP,6,321464,24,19,1,Molson Coors Beverage Company,Consumer Staples
TGT,1,2700,3,0,0,Target Corporation,Consumer Staples
TMO,1,6514,12,1,0,Thermo Fisher Scientific,Health Care
TRGP,49,122600,36,13,0,Targa Resources,Energy
TSLA,1,275000,7,12,1,"Tesla, Inc.",Consumer Discretionary
TSN,35,608091,86,60,0,Tyson Foods,Consumer Staples
TXN,5,1800,2,1,0,Texas Instruments,Information Technology
TXT,2,81028,11,21,0,Textron,Industrials
VLO,28,5350273,212,141,4,Valero Energy,Energy
VST,87,242300,170,150,3,Vistra Corp.,Utilities
VTRS,1,0,0,0,0,Viatris,Health Care
WEC,23,0,29,45,1,WEC Energy Group,Utilities
WHR,2,0,6,0,0,,
WM,214,523446,468,282,3,Waste Management,Industrials
WMB,107,3789081,146,26,1,Williams Companies,Energy
WY,2,10000,11,24,1,Weyerhaeuser,Real Estate
XEL,41,961300,72,65,1,Xcel Energy,Utilities
XOM,77,4162849,136,80,4,ExxonMobil,Energy
