ticker,kraftwerke,co2_t,mwh,company,gics_sector
ABBV,1,63884.7808704,114557.099,AbbVie,Health Care
ADM,2,226867.890312,298003.0,Archer Daniels Midland,Consumer Staples
AEE,39,41799917.6747712,46549446.066,Ameren,Utilities
AEP,114,94998185.5681152,159308825.541,American Electric Power,Utilities
BMY,2,42424.8659856,101689.0,Bristol Myers Squibb,Health Care
BRK-B,113,56151436.608288,82663659.108,Berkshire Hathaway,Financials
CEG,13,5051391.2617392,12156274.997,Constellation Energy,Utilities
CMS,33,13640506.039238399,23198274.113,CMS Energy,Utilities
CNP,108,42971137.7411232,90724140.764,CenterPoint Energy,Utilities
D,66,33539668.5164688,74670792.925,Dominion Energy,Utilities
DOW,1,524049.0895584,1856617.0,Dow Inc.,Materials
DTE,23,24439358.1910464,43944855.89,DTE Energy,Utilities
DUK,107,83778373.7311248,149072220.29,Duke Energy,Utilities
ECL,1,4923.6411168,16715.0,Ecolab,Materials
ED,62,13572980.603078399,34295850.098,Consolidated Edison,Utilities
EIX,82,11789521.487352,31380577.283,Edison International,Utilities
EMN,1,0.0,940999.0,,
ES,33,5115267.6863904,13482797.814,Eversource Energy,Utilities
ETR,68,56711431.7732592,124816409.525,Entergy,Utilities
EVRG,33,24010901.8387056,26521185.663,Evergy,Utilities
EXC,112,34673134.1148864,77407588.343,Exelon,Utilities
FCX,1,43728.1776288,67302.0,Freeport-McMoRan,Materials
FE,32,37690640.26812,58680019.193,FirstEnergy,Utilities
GE,1,12479.0249808,2808.68,GE Aerospace,Industrials
HPQ,1,24500.9336544,92473.0,HP Inc.,Information Technology
LNT,20,6998133.9578976,11573947.713,Alliant Energy,Utilities
MRK,1,12363.8495904,42309.0,Merck & Co.,Health Care
NEE,36,41964222.2979168,123571496.161,NextEra Energy,Utilities
OGE,14,9330247.466568,16398581.289,,
PCG,159,16413535.7034768,51758274.764,PG&E Corporation,Utilities
PFE,1,20940.9275376,72836.877,Pfizer,Health Care
PG,1,0.0,847741.0,Procter & Gamble,Consumer Staples
PKG,2,55202.7925008,804533.03,Packaging Corporation of America,Materials
PNW,13,12577297.234824,18666025.0,Pinnacle West Capital,Utilities
POR,8,5315251.428648001,11030586.996,,
PPL,39,47890776.532838404,79005787.012,PPL Corporation,Utilities
PSX,1,107153.705736,384088.0,Phillips 66,Energy
SO,79,84859842.3550416,158084531.154,Southern Company,Utilities
SRE,108,69195557.185776,121840150.9,Sempra,Utilities
SW,5,158655.0886704,1466293.339,Smurfit Westrock,Materials
TAP,2,41595.8149152,143398.928,Molson Coors Beverage Company,Consumer Staples
WEC,42,30372603.2545824,44910055.052,WEC Energy Group,Utilities
WM,1,0.0,43995.999,Waste Management,Industrials
WMT,7,859.4186832,1100.0,Walmart,Consumer Staples
XEL,52,28103753.6572464,43175298.694,Xcel Energy,Utilities
XOM,1,168491.0145744,639915.0,ExxonMobil,Energy
