flag_id,rule,severity,ticker,metric,year,value,message,impact_t,ranking_relevant,evidence,company,gics_sector
Q0001,F06_egrid_nicht_versorger,pruefen,BRK-B,t_co2_pro_mwh,2023,0.6792759625475349,"Stromrate eines Nicht-Versorgers: beschreibt Eigenanlagen, nicht das Geschäftsmodell.",0.0,False,"{""kraftwerke"": 113, ""mwh"": 82663659.108, ""branche"": ""Financials""}",Berkshire Hathaway,Financials
Q0002,F06_egrid_nicht_versorger,pruefen,SW,t_co2_pro_mwh,2023,0.1082014658667149,"Stromrate eines Nicht-Versorgers: beschreibt Eigenanlagen, nicht das Geschäftsmodell.",0.0,False,"{""kraftwerke"": 5, ""mwh"": 1466293.339, ""branche"": ""Materials""}",Smurfit Westrock,Materials
Q0003,F10_whd_franchise,pruefen,DG,whd_cases,2024,16.0,"16 Verfahren, davon 14 nur über den Handelsnamen zugeordnet (88%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 16, ""nur_handelsname"": 14, ""rechtsnamen"": {""Dolgencorp, LLC"": 5, ""DolgenCorp, LLC"": 2, ""Dollar General Corporation"": 2, ""DollGenCorp"": 1}, ""handelsnamen"": {""Dollar General"": 15, ""Dollar General Store"": 1}, ""nachzahlung_usd"": 3420.4300000000003}",Dollar General,Consumer Staples
Q0004,F10_whd_franchise,pruefen,DPZ,whd_cases,2024,9.0,"9 Verfahren, davon 9 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 9, ""nur_handelsname"": 9, ""rechtsnamen"": {""Boston Pie, Inc."": 4, ""The Great Tennessee Pizza Company INC."": 1, ""Team Carolinas Inc"": 1, ""Red Blue Dice Corporation, Red & Blue Dice 2"": 1}, ""handelsnamen"": {""Domino's"": 8, ""Domino's (enterprise)"": 1}, ""nachzahlung_usd"": 42327.12}",Domino's,Consumer Discretionary
Q0005,F10_whd_franchise,pruefen,FDX,whd_cases,2024,5.0,"5 Verfahren, davon 4 nur über den Handelsnamen zugeordnet (80%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 5, ""nur_handelsname"": 4, ""rechtsnamen"": {""Bossert Logistics, Inc."": 1, ""FDX Corporation"": 1, ""FedEx Ground Package System, Inc."": 1, ""PEPSHI LOGISTICS CORP."": 1}, ""handelsnamen"": {""FedEx"": 2, ""FedEx Ground"": 1, ""Fedex"": 1, ""FedEX Express"": 1}, ""nachzahlung_usd"": 9401.689999999999}",FedEx,Industrials
Q0006,F10_whd_franchise,pruefen,MCD,whd_cases,2024,64.0,"64 Verfahren, davon 64 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 64, ""nur_handelsname"": 64, ""rechtsnamen"": {""Coughlin, Inc."": 5, ""Santonastasso Enterprises, LLC"": 4, ""RAMR Enterprises, LLC"": 3, ""Con Lee Restaurant�s Inc."": 1}, ""handelsnamen"": {""McDonald's"": 54, ""McDonald's (1841)"": 1, ""McDonald's (#15795)"": 1, ""McDonald's (6373)"": 1}, ""nachzahlung_usd"": 426360.37}",McDonald's,Consumer Discretionary
Q0007,F10_whd_franchise,pruefen,MKC,whd_cases,2024,7.0,"7 Verfahren, davon 6 nur über den Handelsnamen zugeordnet (86%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 7, ""nur_handelsname"": 6, ""rechtsnamen"": {""J McCormick LLC"": 5, ""McCormick Sand, Inc."": 1, ""McCormicks, LLC"": 1}, ""handelsnamen"": {""McCormick Gas Station #1 and Lunch Box"": 1, ""McCormick Gas Station #2"": 1, ""McCormick Gas Station #3"": 1, ""McCormick Gas Station #4"": 1}, ""nachzahlung_usd"": 10370.29}",McCormick & Company,Consumer Staples
Q0008,F10_whd_franchise,pruefen,PSX,whd_cases,2024,6.0,"6 Verfahren, davon 6 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 6, ""nur_handelsname"": 6, ""rechtsnamen"": {""SAI Enterprises, LLC."": 1, ""Cobra Service Station Corp."": 1, ""Rio Plantation Fuel Corp."": 1, ""32 Enterprises Inc."": 1}, ""handelsnamen"": {""Phillips 66"": 3, ""Phillips 66 Gas Station, Betances Ave."": 1, ""Phillips 66 - Rio Plantation II SS"": 1, ""Phillips 66 SEI 38009"": 1}, ""nachzahlung_usd"": 17229.58}",Phillips 66,Energy
Q0009,F10_whd_franchise,pruefen,XOM,whd_cases,2024,11.0,"11 Verfahren, davon 10 nur über den Handelsnamen zugeordnet (91%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 11, ""nur_handelsname"": 10, ""rechtsnamen"": {""XTO Energy Inc"": 1, ""TVEB LLC"": 1, ""BEACHPARK GAS & FOOD LLC"": 1, ""AGM Gas Station, LLC"": 1}, ""handelsnamen"": {""Exxon Mobil"": 3, ""Mobil 65 Inf."": 1, ""Mobil Gas Station"": 1, ""Mobil - PR-2"": 1}, ""nachzahlung_usd"": 183434.71000000002}",ExxonMobil,Energy
Q0010,P01_branchenextrem,pruefen,DTE,echo_penalties_usd,2025,100160386.0,Im Branchenvergleich extrem (robuster z-Wert 3.7 auf log-Skala). Kann real sein.,0.0,False,"{""branche"": ""Utilities"", ""n"": 30, ""median"": 24000.0, ""p90"": 771130.0000000003, ""max"": 100160386.0, ""zeitreihe"": {""2025"": 100160386.0}}",DTE Energy,Utilities
