flag_id,rule,severity,ticker,metric,year,value,message,impact_t,ranking_relevant,evidence,company,gics_sector,ai_verdict,ai_cause,ai_explanation,ai_action,ai_confidence,ai_needs_human,ai_model,ai_first_pass,route,tokens,entscheidung,person,begruendung,final
Q0001,F06_egrid_zuordnung,pruefen,DOW,egrid_mwh,2023,1856617.0,Ein einzelnes Kraftwerk mit 1.9 TWh bei einer Firma ohne Stromgeschäft: Zuordnung über den Namen prüfen.,0.0,False,"{""kraftwerke"": 1, ""mwh"": 1856617.0, ""co2_t"": 524049.0895584, ""branche"": ""Materials""}",Dow Inc.,Materials,unklar,zuordnung_falsch,"Die Belege zeigen nur: ein einzelnes eGRID-Kraftwerk mit 1,86 TWh wurde Dow Inc. zugeordnet, obwohl die Firma in der Branche Materials liegt. Das ist auffällig und passt zur Regelhypothese einer möglichen Namens-/Zuordnungsfehlerquelle. Es fehlt aber der Kraftwerksname bzw. ein Eigentums-/Betreiberbeleg. Laut allgemeinem Wissen können Chemie- und Industriekonzerne auch große Eigenstrom- oder KWK-Anlagen betreiben. Daher ist nicht belegbar, ob der Wert falsch oder ein echter industrieller Kraftwerkswert ist.",kennzeichnen,0.63,True,gpt-5.5,"{'verdict': 'unklar', 'cause': 'zuordnung_falsch', 'confidence': 0.58}",mensch,1149,,,,offen
Q0002,F09_osha_stunden_unplausibel,pruefen,BR,osha_hours,2025,331670821.0,"Gemeldete Arbeitszeit unplausibel: Median 2,391 h je Beschäftigtem (Vollzeit rund 2.000), 48% der Meldungen außerhalb 200-4.000 h.",0.0,False,"{""meldungen"": 21, ""stunden_je_beschaeftigtem_median"": 2391.0434782608695, ""anteil_unplausibel"": 0.47619047619047616, ""firmennamen"": {""Broadridge Financial Solutions"": 18, ""Broadridge Financial Solutions, Inc."": 3}}",Broadridge Financial Solutions,Industrials,fehler,definition_oder_einheit,"Die gemeldete OSHA-Zahl ist als Firmenmesswert sehr wahrscheinlich nicht direkt plausibel interpretierbar. Die Belege zeigen extrem hohe Stunden je Beschäftigtem (Median 2.391 h) und fast die Hälfte der Meldungen außerhalb des erwartbaren Bereichs. Das spricht eher für eine falsche Definition, Einheit oder Aggregation der Kennzahl als für einen echten Firmenwert. Laut allgemeinem Wissen können OSHA-Meldungen je nach Datenquelle/Abbildung auch formale Erfassungsfehler enthalten; hier reichen die Belege aber nicht für eine sichere Spezialursache.",korrigieren,0.82,True,gpt-5.4-mini,,mensch,832,,,,offen
Q0003,F09_osha_stunden_unplausibel,pruefen,MCD,osha_hours,2025,9433.0,"Gemeldete Arbeitszeit unplausibel: Median 50 h je Beschäftigtem (Vollzeit rund 2.000), 100% der Meldungen außerhalb 200-4.000 h.",0.0,False,"{""meldungen"": 4, ""stunden_je_beschaeftigtem_median"": 49.83957219251337, ""anteil_unplausibel"": 1.0, ""firmennamen"": {""McDonald's"": 4}}",McDonald's,Consumer Discretionary,fehler,definition_oder_einheit,"Der Wert wirkt als Arbeitsstunden der Firma unplausibel: Der Median liegt nur bei rund 50 Stunden je Beschäftigtem, und alle Meldungen liegen außerhalb des plausiblen Bereichs 200–4.000 Stunden. Das spricht dafür, dass hier etwas anderes als Gesamtstunden gemeldet wurde oder die Einheit/Definition nicht passt. Laut allgemeinem Wissen können OSHA-Meldungen je nach Kennzahl z. B. nur auf bestimmte Beschäftigtengruppen oder Ereignisse bezogen sein; als Firmenmesswert ist 9.433 hier daher irreführend.",korrigieren,0.96,True,gpt-5.4-mini,,automatisch,806,,,,korrigieren
Q0004,F09_osha_stunden_unplausibel,pruefen,NXPI,osha_hours,2025,442449370.0,"Gemeldete Arbeitszeit unplausibel: Median 2,130 h je Beschäftigtem (Vollzeit rund 2.000), 33% der Meldungen außerhalb 200-4.000 h.",0.0,False,"{""meldungen"": 3, ""stunden_je_beschaeftigtem_median"": 2129.5854114713215, ""anteil_unplausibel"": 0.3333333333333333, ""firmennamen"": {""NXP Semiconductors"": 3}}",NXP Semiconductors,Information Technology,fehler,sonstiges,"Der Wert 442.449.370 Stunden ist als gemeldete Arbeitszeit für eine einzelne US-Börsenfirma offensichtlich nicht plausibel. Die Belege zeigen zwar einen medianen Stundenwert je Beschäftigtem im Bereich Vollzeit und nur 33% Ausreißer, das spricht aber eher gegen einen Programm- oder Einheitenfehler bei den Einzelmeldungen. Für die Firma als Messwert ist der aggregierte Gesamtwert dennoch irreführend; die genaue Ursache ist aus den Belegen nicht sicher ableitbar.",kennzeichnen,0.72,True,gpt-5.4-mini,,mensch,804,,,,offen
Q0005,F09_osha_stunden_unplausibel,pruefen,VTR,osha_hours,2025,666917.0,"Gemeldete Arbeitszeit unplausibel: Median 1,510 h je Beschäftigtem (Vollzeit rund 2.000), 33% der Meldungen außerhalb 200-4.000 h.",0.0,False,"{""meldungen"": 9, ""stunden_je_beschaeftigtem_median"": 1510.3783783783783, ""anteil_unplausibel"": 0.3333333333333333, ""firmennamen"": {""Ventas"": 6, ""VENTAS"": 2, ""Ventas, Inc."": 1}}",Ventas,Real Estate,fehler,sonstiges,"Die gemeldeten OSHA-Stunden wirken als Firmenmesswert nicht belastbar: Der Median von 1.510 Stunden je Beschäftigtem liegt deutlich unter einer plausiblen Vollzeit-Jahresgröße, und ein Drittel der Meldungen liegt außerhalb des vorgegebenen Plausibilitätsbereichs. Die Belege zeigen zwar keine konkrete Fehlquelle, aber sie stützen klar, dass der Wert so nicht unverändert als Firmenwert verrechnet werden sollte.",kennzeichnen,0.86,True,gpt-5.4-mini,,automatisch,797,,,,kennzeichnen
Q0006,F10_whd_franchise,pruefen,DG,whd_cases,2024,16.0,"16 Verfahren, davon 14 nur über den Handelsnamen zugeordnet (88%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 16, ""nur_handelsname"": 14, ""rechtsnamen"": {""Dolgencorp, LLC"": 5, ""DolgenCorp, LLC"": 2, ""Dollar General Corporation"": 2, ""DollGenCorp"": 1}, ""handelsnamen"": {""Dollar General"": 15, ""Dollar General Store"": 1}, ""nachzahlung_usd"": 3420.4300000000003}",Dollar General,Consumer Staples,fehler,zuordnung_falsch,Die 16 Verfahren sind überwiegend nur über den Handelsnamen zugeordnet (14 von 16). Laut allgemeinem Wissen können Franchise- oder ähnlich betriebene Filialen eigene Arbeitgeber sein; ohne Franchise- bzw. Arbeitgeber-Offenlegung ist die Zuordnung zur Firma daher nicht belastbar. Als Firmemesswert ist der Wert so nicht verlässlich verrechenbar.,kennzeichnen,0.94,True,gpt-5.4-mini,,automatisch,783,,,,kennzeichnen
Q0007,F10_whd_franchise,pruefen,DPZ,whd_cases,2024,9.0,"9 Verfahren, davon 9 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 9, ""nur_handelsname"": 9, ""rechtsnamen"": {""Boston Pie, Inc."": 4, ""The Great Tennessee Pizza Company INC."": 1, ""Team Carolinas Inc"": 1, ""Red Blue Dice Corporation, Red & Blue Dice 2"": 1}, ""handelsnamen"": {""Domino's"": 8, ""Domino's (enterprise)"": 1}, ""nachzahlung_usd"": 42327.12}",Domino's,Consumer Discretionary,fehler,zuordnung_falsch,"Die 9 Verfahren wurden laut Belegen alle nur über den Handelsnamen Domino's zugeordnet. Franchisebetriebe sind rechtlich eigene Arbeitgeber; ohne Offenlegung der Franchise-Struktur ist eine Verrechnung dieser Fälle mit der Mutterfirma als Firmenmesswert irreführend. Laut allgemeinem Wissen kann das eine Zuordnungsfrage sein, nicht zwingend ein echter Firmenwert.",korrigieren,0.94,True,gpt-5.4-mini,,automatisch,797,,,,korrigieren
Q0008,F10_whd_franchise,pruefen,FDX,whd_cases,2024,5.0,"5 Verfahren, davon 4 nur über den Handelsnamen zugeordnet (80%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 5, ""nur_handelsname"": 4, ""rechtsnamen"": {""Bossert Logistics, Inc."": 1, ""FDX Corporation"": 1, ""FedEx Ground Package System, Inc."": 1, ""PEPSHI LOGISTICS CORP."": 1}, ""handelsnamen"": {""FedEx"": 2, ""FedEx Ground"": 1, ""Fedex"": 1, ""FedEX Express"": 1}, ""nachzahlung_usd"": 9401.689999999999}",FedEx,Industrials,fehler,zuordnung_falsch,"Die Belege zeigen, dass 4 von 5 Verfahren nur über den Handelsnamen (z. B. FedEx, FedEx Ground, FedEx Express) zugeordnet wurden. Laut allgemeinem Wissen können solche Handelsnamen mehrere rechtlich getrennte Franchise- oder Konzerngesellschaften bezeichnen; ohne Franchise-/Konzernzuordnung ist die Firmenmessung nicht eindeutig. Als Messwert über die Firma ist die Zahl daher irreführend.",kennzeichnen,0.84,True,gpt-5.4-mini,,mensch,821,,,,offen
Q0009,F10_whd_franchise,pruefen,MCD,whd_cases,2024,64.0,"64 Verfahren, davon 64 nur über den Handelsnamen zugeordnet (100%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 64, ""nur_handelsname"": 64, ""rechtsnamen"": {""Coughlin, Inc."": 5, ""Santonastasso Enterprises, LLC"": 4, ""RAMR Enterprises, LLC"": 3, ""Con Lee Restaurant�s Inc."": 1}, ""handelsnamen"": {""McDonald's"": 54, ""McDonald's (1841)"": 1, ""McDonald's (#15795)"": 1, ""McDonald's (6373)"": 1}, ""nachzahlung_usd"": 426360.37}",McDonald's,Consumer Discretionary,fehler,zuordnung_falsch,Alle 64 Verfahren sind laut Beleg nur über den Handelsnamen zugeordnet; bei McDonald's-Franchisebetrieben sind die eigentlichen Arbeitgeber jedoch die Franchise- oder Betreiberfirmen. Ohne Franchise-Offenlegung ist die Zuordnung der Verfahren zur Mutterfirma nicht belastbar. Damit darf der Wert so nicht als Firmenmesswert verrechnet werden.,unterdruecken,0.94,True,gpt-5.4-mini,,automatisch,806,,,,unterdruecken
Q0010,F10_whd_franchise,pruefen,MKC,whd_cases,2024,7.0,"7 Verfahren, davon 6 nur über den Handelsnamen zugeordnet (86%). Franchisebetriebe sind eigene Arbeitgeber -- ohne Franchise-Offenlegung nicht entscheidbar.",0.0,False,"{""faelle"": 7, ""nur_handelsname"": 6, ""rechtsnamen"": {""J McCormick LLC"": 5, ""McCormick Sand, Inc."": 1, ""McCormicks, LLC"": 1}, ""handelsnamen"": {""McCormick Gas Station #1 and Lunch Box"": 1, ""McCormick Gas Station #2"": 1, ""McCormick Gas Station #3"": 1, ""McCormick Gas Station #4"": 1}, ""nachzahlung_usd"": 10370.29}",McCormick & Company,Consumer Staples,fehler,zuordnung_falsch,"Die 7 Verfahren wirken nach den Belegen nicht belastbar der börsennotierten McCormick & Company zugeordnet: 6 von 7 Fällen wurden nur über den Handelsnamen zugeordnet, und die genannten Rechtsnamen/Handelsnamen deuten auf einzelne Gasstationen bzw. eine andere lokale Einheit hin. Laut allgemeinem Wissen sind Franchisebetriebe bzw. rechtlich getrennte Betreiber eigene Arbeitgeber; ohne klare Franchise- oder Konzernzuordnung darf der Wert nicht als Messwert über die Firma verrechnet werden.",unterdruecken,0.95,True,gpt-5.4-mini,,automatisch,846,,,,unterdruecken
