ticker,company,gics_sector,gics_sub_industry,years_observed,year_last,scope1_t,revenue_musd,co2_intensity,n_facilities,match_confidence,intensity_cagr,absolute_cagr,base_year_ratio,intensity_illusion,illusion_gap
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",6,2023,287870.94399999996,383285.0,0.7510623791695473,1,0.9,-0.06631413015478493,0.02801738933332487,0.8192446542418178,True,0.0943315194881098
ABBV,AbbVie,Health Care,Biotechnology,6,2023,99777.824,54318.0,1.8369200633307559,2,1.0,-0.19774515511027124,-0.090164541119795,1.20472188881853,False,0.10758061399047625
ABT,Abbott Laboratories,Health Care,Health Care Equipment,6,2023,134386.892,40109.0,3.3505420728514794,5,1.0,-0.02573616780091814,0.0468805621533106,0.9187441275401331,True,0.07261672995422874
ADI,Analog Devices,Information Technology,Semiconductors,6,2023,117771.628108,12305.539,9.570619223424508,3,1.0,0.08035200834291056,0.2736899229452445,0.5620935578506383,False,0.19333791460233396
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,6,2023,10585367.606,25691.0,412.0262973804056,19,1.0,0.1814111410154422,-0.028928381905542366,1.0900281875042277,False,-0.21033952292098457
AEE,Ameren,Utilities,Multi-Utilities,6,2023,19790344.651600003,7500.0,2638.7126202133336,17,1.0,-0.1007456003955457,-0.05140196908468908,1.1632464712886574,False,0.04934363131085662
AEP,American Electric Power,Utilities,Electric Utilities,6,2023,50202912.0739422,19456.0,2580.330595905746,38,0.9986832733543262,-0.0989123369199516,-0.05418638675475296,1.1235188506080638,False,0.04472595016519865
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,6,2023,15564412.834,12668.0,1228.6401037259236,17,1.0,-0.08200080948122723,-0.038752749627418925,1.0812064339595153,False,0.04324805985380831
ALB,Albemarle Corporation,Materials,Specialty Chemicals,6,2023,229671.722,9617.203,23.88134283949294,4,1.0,-0.1986363709552753,-0.008959094615475727,1.00729394994143,False,0.18967727633979958
AMGN,Amgen,Health Care,Biotechnology,6,2023,61780.352,28190.0,2.191569776516495,2,1.0,0.09503982937293642,0.13443848672773684,0.6381296131465419,False,0.039398657354800415
APD,Air Products,Materials,Industrial Gases,6,2023,14072905.322,12600.0,1116.897247777778,32,0.9500000000000001,-0.05901493004536551,0.023281527677364577,0.9936523248562553,True,0.08229645772273009
ARES,Ares Management,Financials,Asset Management & Custody Banks,5,2023,1454174.0512,3631.884,400.39110588333773,1,1.0,0.22691777605821772,0.4973653757496348,0.2957067046673847,False,0.2704475996914171
ATO,Atmos Energy,Utilities,Gas Utilities,6,2023,737121.0920000001,4275.357,172.41158855272204,14,1.0,-0.13157772590149197,-0.057054901917052314,1.157144041113906,False,0.07452282398443966
AVGO,Broadcom,Information Technology,Semiconductors,6,2023,34457.051985,35819.0,0.9619769391942823,1,1.0,-0.34275830562620135,-0.26319371791033097,1.3006637381223383,False,0.07956458771587038
AZO,AutoZone,Consumer Discretionary,Automotive Retail,6,2023,0.0,17457.209,0.0,1,1.0,,,,False,
BA,Boeing,Industrials,Aerospace & Defense,6,2023,151144.822,77794.0,1.9428853382008893,4,1.0,0.02987666537513145,-0.017848371916011185,1.0269935258157423,False,-0.047725037291142636
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",6,2023,63499.238000000005,12062.0,5.264403747305588,1,0.9,-0.045995794112512756,-0.023982744996261185,0.9999331141970861,False,0.02201304911625157
BAX,Baxter International,Health Care,Health Care Equipment,6,2023,43203.836,10360.0,4.170254440154441,2,0.9166666666666666,,,,False,
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,6,2023,90072.76,4178.0,21.558822403063665,2,1.0,0.05512985352428701,0.11583436731067298,0.9090083793098631,False,0.06070451378638597
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,6,2023,564616.524,17831.0,31.664882732320116,11,0.9090909090909091,-0.023492834322731526,0.0014791058146270686,0.9786816940647445,True,0.024971940137358595
BIIB,Biogen,Health Care,Biotechnology,6,2023,28268.192,9835.6,2.8740688925942495,1,0.9833333333333334,0.07605807755511673,-0.006844206418506138,1.0264048552702363,False,-0.08290228397362287
BLK,BlackRock,Financials,Asset Management & Custody Banks,3,2023,187749.8994,17859.0,10.512901024693432,1,1.0,,0.010645621697898733,0.9790439819537926,False,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,6,2023,95102.73999999999,45006.0,2.11311247389237,3,1.0,-0.1491314382107365,-0.011566885633515378,1.2120959382269552,False,0.1375645525772211
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,6,2023,53683295.2897898,254906.0,210.6003597003986,143,0.9958174161749448,-0.08976978451756423,-0.022537382590010813,1.010282869002308,False,0.06723240192755342
CARR,Carrier Global,Industrials,Building Products,6,2023,0.0,18951.0,0.0,5,1.0,,,,False,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,6,2023,456901.738,67060.0,6.813327438115121,8,1.0,-0.10375885915588368,-0.06412216491219414,1.3475281919778492,False,0.03963669424368954
CEG,Constellation Energy,Utilities,Electric Utilities,6,2023,8941320.546,20841.0,429.0255048222254,24,0.9569444444444444,,-0.27592460951113396,9.522507537559122,False,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,6,2023,20579424.174000002,6631.0,3103.5174444276886,6,1.0,-0.13036541505671018,0.007519260028531871,0.9662046441101473,True,0.13788467508524205
CMS,CMS Energy,Utilities,Multi-Utilities,6,2023,16989121.6012564,7261.0,2339.777110763862,18,1.0,-0.02986829559775417,0.011560975348475111,0.9797693590516819,True,0.04142927094622928
CNP,CenterPoint Energy,Utilities,Multi-Utilities,6,2023,4192299.8872,8612.0,486.797478773804,12,1.0,0.6302604250753971,0.7431412086994276,0.10000793198727714,False,0.11288078362403042
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,6,2023,9034704.8357512,48522.0,186.19811293333333,30,0.999054909862311,-0.09406986560392805,0.022863983106158114,0.8808481036642297,True,0.11693384871008616
CSGP,CoStar Group,Real Estate,Real Estate Services,6,2023,0.0,2455.0,0.0,1,0.923076923076923,,,,False,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,5,2023,82753.74,17226.0,4.804002089864159,2,1.0,-0.13236615628492554,-0.07483393129263205,1.256430233061952,False,0.05753222499229349
