ticker,p10,p50,p90,band_width,share_top_quintile,share_bottom_quintile,company,gics_sector,gics_sub_industry,match_confidence
AVGO,77.77777777777779,100.0,100.0,22.222222222222214,89.13333333333333,0.13333333333333333,Broadcom,Information Technology,Semiconductors,1.0
NEM,94.73684210526315,100.0,100.0,5.26315789473685,99.93333333333332,0.0,Newmont,Materials,Gold,1.0
WFC,87.5,100.0,100.0,12.5,97.86666666666667,0.0,Wells Fargo,Financials,Diversified Banks,1.0
EXC,93.33333333333333,100.0,100.0,6.666666666666671,100.0,0.0,Exelon,Utilities,Electric Utilities,1.0
GOOG,66.66666666666666,100.0,100.0,33.33333333333334,61.06666666666667,0.0,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1.0
KHC,73.33333333333333,100.0,100.0,26.66666666666667,89.73333333333333,0.4,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,1.0
DVN,85.71428571428571,100.0,100.0,14.285714285714292,92.93333333333334,0.0,Devon Energy,Energy,Oil & Gas Exploration & Production,0.9938283873118875
PEG,93.33333333333333,96.42857142857143,100.0,6.666666666666671,100.0,0.0,Public Service Enterprise Group,Utilities,Electric Utilities,1.0
CTVA,89.47368421052632,94.73684210526315,94.73684210526315,5.263157894736835,99.46666666666667,0.0,Corteva,Materials,Fertilizers & Agricultural Chemicals,1.0
DD,70.83333333333334,93.75,100.0,29.166666666666657,81.8,0.33333333333333337,DuPont,Industrials,Industrial Conglomerates,0.9170853827974571
ABBV,63.63636363636363,90.9090909090909,100.0,36.36363636363637,82.86666666666666,1.4666666666666666,AbbVie,Health Care,Biotechnology,1.0
ALB,78.94736842105263,89.47368421052632,94.73684210526315,15.78947368421052,89.46666666666667,0.0,Albemarle Corporation,Materials,Specialty Chemicals,1.0
NRG,67.85714285714286,89.28571428571429,100.0,32.14285714285714,85.39999999999999,0.0,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1.0
NXPI,66.66666666666666,88.88888888888889,100.0,33.33333333333334,76.4,0.5333333333333333,NXP Semiconductors,Information Technology,Semiconductors,1.0
HAL,62.5,88.88888888888889,100.0,37.5,66.4,0.33333333333333337,Halliburton,Energy,Oil & Gas Equipment & Services,0.9833333333333334
MPC,68.75,87.5,100.0,31.25,63.26666666666667,0.0,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0.979657275599472
MS,75.0,87.5,100.0,25.0,78.0,0.0,Morgan Stanley,Financials,Investment Banking & Brokerage,1.0
MO,60.0,86.66666666666667,100.0,40.0,68.8,0.06666666666666667,Altria,Consumer Staples,Tobacco,1.0
CEG,86.66666666666667,86.66666666666667,92.85714285714286,6.19047619047619,99.46666666666667,0.0,Constellation Energy,Utilities,Electric Utilities,0.9569444444444444
EQT,62.5,85.71428571428571,93.75,31.25,67.13333333333334,0.0,EQT Corporation,Energy,Oil & Gas Exploration & Production,0.9712892180283484
PEP,55.55555555555556,84.61538461538461,100.0,44.44444444444444,57.86666666666667,0.4,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1.0
FCX,78.94736842105263,84.21052631578947,89.47368421052632,10.526315789473685,77.4,0.0,Freeport-McMoRan,Materials,Copper,0.9442307692307693
PCG,67.85714285714286,82.14285714285714,100.0,32.14285714285714,61.8,0.0,PG&E Corporation,Utilities,Multi-Utilities,0.9794871794871794
NI,71.42857142857143,82.14285714285714,100.0,28.57142857142857,80.33333333333333,0.0,NiSource,Utilities,Multi-Utilities,1.0
LII,37.5,81.25,100.0,62.5,45.13333333333333,3.5333333333333337,Lennox International,Industrials,Building Products,1.0
IR,41.66666666666667,81.25,100.0,58.33333333333333,45.93333333333333,3.1333333333333333,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,1.0
CVX,68.75,81.25,100.0,31.25,56.8,0.0,Chevron Corporation,Energy,Integrated Oil & Gas,0.999808429118774
DOV,41.66666666666667,81.25,100.0,58.33333333333333,45.4,2.533333333333333,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,1.0
MGM,40.0,80.0,100.0,60.0,67.60000000000001,3.3333333333333335,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1.0
TT,37.5,79.16666666666666,100.0,62.5,44.4,3.0,Trane Technologies,Industrials,Building Products,1.0
JCI,37.5,79.16666666666666,100.0,62.5,43.93333333333334,3.4666666666666663,Johnson Controls,Industrials,Building Products,1.0
CARR,37.5,79.16666666666666,100.0,62.5,43.06666666666666,3.0,Carrier Global,Industrials,Building Products,1.0
ED,60.71428571428571,78.57142857142857,90.0,29.285714285714292,49.06666666666666,0.0,Consolidated Edison,Utilities,Multi-Utilities,1.0
FE,64.28571428571429,78.57142857142857,82.14285714285714,17.857142857142847,49.8,0.0,FirstEnergy,Utilities,Electric Utilities,0.9588815789473683
ATO,66.66666666666666,78.57142857142857,92.85714285714286,26.190476190476204,44.0,0.0,Atmos Energy,Utilities,Gas Utilities,1.0
QCOM,44.44444444444444,75.0,88.88888888888889,44.44444444444444,25.866666666666667,0.5333333333333333,Qualcomm,Information Technology,Semiconductors,1.0
