ticker,company,gics_sector,n_values,E_score,E_families,E_family_list,E_anchor,E_level,S_score,S_families,S_family_list,S_anchor,S_level,G_score,G_families,G_family_list,G_anchor,G_level,e_band_width,n_reliable
A,Agilent Technologies,Health Care,22,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
AAPL,Apple Inc.,Information Technology,27,0.3,1,climate_targets,False,thin,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
ABBV,AbbVie,Health Care,35,3.1,5,"climate_targets, generation, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,30.0,2
ABNB,Airbnb,Consumer Discretionary,15,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
ABT,Abbott Laboratories,Health Care,18,1.6,2,"ghg, pollutants",True,strong,0.0,0,,False,none,1.2,2,"compliance, supply_chain",True,partial,40.0,1
ACGL,Arch Capital Group,Financials,4,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
ACN,Accenture,Information Technology,22,0.3,1,climate_targets,False,thin,1.1,2,"social_assessment, wage_law",False,partial,0.7,2,"commitments, supply_chain",False,thin,,0
ADBE,Adobe Inc.,Information Technology,17,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
ADI,Analog Devices,Information Technology,31,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,18.18181818181818,2
ADM,Archer Daniels Midland,Consumer Staples,29,2.7,4,"climate_targets, generation, ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,8.974358974358971,2
ADP,Automatic Data Processing,Industrials,12,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
ADSK,Autodesk,Information Technology,12,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
AEE,Ameren,Utilities,26,2.6,3,"generation, ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,46.66666666666666,1
AEP,American Electric Power,Utilities,25,2.6,3,"generation, ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,28.571428571428584,1
AES,AES Corporation,Utilities,27,2.1,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,33.33333333333333,1
AFL,Aflac,Financials,5,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
AIG,American International Group,Financials,15,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
AIZ,Assurant,Financials,5,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
AJG,Arthur J. Gallagher & Co.,Financials,5,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
AKAM,Akamai Technologies,Information Technology,11,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
ALB,Albemarle Corporation,Materials,28,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.2,2,"compliance, supply_chain",True,partial,11.1111111111111,1
ALGN,Align Technology,Health Care,11,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
ALL,Allstate,Financials,16,0.3,1,climate_targets,False,thin,1.1,2,"social_assessment, wage_law",False,partial,0.2,1,supply_chain,False,thin,,0
ALLE,Allegion,Industrials,11,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
AMAT,Applied Materials,Information Technology,22,0.3,1,climate_targets,False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
AMCR,Amcor,Materials,25,1.5,3,"climate_targets, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,1
AMD,Advanced Micro Devices,Information Technology,12,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
AME,Ametek,Industrials,14,0.8,1,pollutants,True,partial,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
AMGN,Amgen,Health Care,31,2.3,4,"climate_targets, ghg, nature, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,10.0,2
AMP,Ameriprise Financial,Financials,8,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,,0
AMT,American Tower,Real Estate,20,0.3,1,climate_targets,False,thin,1.4,2,"occupational_safety, social_assessment",True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
AMZN,Amazon,Consumer Discretionary,24,0.3,1,climate_targets,False,thin,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,1
ANET,Arista Networks,Information Technology,11,0.3,1,climate_targets,False,thin,0.0,0,,False,none,0.7,2,"commitments, supply_chain",False,thin,,0
AON,Aon plc,Financials,15,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.7,2,"commitments, supply_chain",False,thin,,0
AOS,A. O. Smith,Industrials,19,0.8,1,pollutants,True,partial,1.7,2,"occupational_safety, wage_law",True,strong,0.2,1,supply_chain,False,thin,,1
APA,APA Corporation,Energy,28,1.9,3,"climate_targets, ghg, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,1.2,2,"compliance, supply_chain",True,partial,,2
APD,Air Products,Materials,21,1.6,2,"ghg, pollutants",True,strong,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,16.666666666666668,1
APH,Amphenol,Information Technology,23,1.1,2,"climate_targets, pollutants",True,partial,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.2,1,supply_chain,False,thin,,1
APO,Apollo Global Management,Financials,9,0.3,1,climate_targets,False,thin,0.4,1,social_assessment,False,thin,0.2,1,supply_chain,False,thin,,0
APP,AppLovin,Communication Services,7,0.0,0,,False,none,0.0,0,,False,none,0.2,1,supply_chain,False,thin,,0
APTV,Aptiv,Consumer Discretionary,19,1.1,2,"climate_targets, pollutants",True,partial,1.0,1,occupational_safety,True,partial,0.7,2,"commitments, supply_chain",False,thin,,0
ARE,Alexandria Real Estate Equities,Real Estate,10,0.0,0,,False,none,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,,0
ARES,Ares Management,Financials,12,0.8,1,ghg,True,partial,1.0,1,occupational_safety,True,partial,0.2,1,supply_chain,False,thin,2.3809523809523796,0
ATO,Atmos Energy,Utilities,17,0.8,1,ghg,True,partial,1.0,1,occupational_safety,True,partial,1.2,2,"compliance, supply_chain",True,partial,18.518518518518533,0
AVGO,Broadcom,Information Technology,29,1.9,3,"climate_targets, ghg, pollutants",True,strong,1.4,2,"occupational_safety, social_assessment",True,partial,1.7,3,"commitments, compliance, supply_chain",True,strong,22.222222222222214,2
AVY,Avery Dennison,Materials,30,1.5,3,"climate_targets, nature, pollutants",True,strong,2.1,3,"occupational_safety, social_assessment, wage_law",True,strong,0.7,2,"commitments, supply_chain",False,thin,,2
