ticker,percentile_wahr,percentile_veraltet
AAPL,8.333333333333332,8.333333333333332
ABBV,92.3076923076923,69.23076923076923
ABT,46.15384615384615,38.46153846153847
ADI,33.33333333333333,50.0
ADM,12.5,12.5
AEE,43.333333333333336,23.333333333333332
AEP,16.666666666666664,10.0
AES,60.0,53.333333333333336
ALB,90.0,90.0
AMGN,7.6923076923076925,7.6923076923076925
AMT,66.66666666666666,33.33333333333333
APA,100.0,44.44444444444444
APD,20.0,30.0
ARES,7.6923076923076925,7.6923076923076925
ATO,83.33333333333334,93.33333333333333
AVGO,100.0,100.0
AXP,88.46153846153845,76.92307692307693
AZO,100.0,100.0
BA,18.51851851851852,37.03703703703704
BALL,65.0,75.0
BAX,100.0,100.0
BF-B,18.75,31.25
BG,31.25,43.75
BIIB,15.384615384615385,30.76923076923077
BLK,61.53846153846154,69.23076923076923
BMY,76.92307692307693,61.53846153846154
BRK-B,38.46153846153847,46.15384615384615
BRO,53.84615384615385,61.53846153846154
CARR,92.5925925925926,92.5925925925926
CASY,56.25,75.0
CAT,66.66666666666666,62.96296296296296
CEG,93.33333333333333,100.0
CF,15.0,10.0
CMS,33.33333333333333,43.333333333333336
CNP,10.0,16.666666666666664
COF,88.46153846153845,92.3076923076923
COO,23.076923076923077,23.076923076923077
COP,38.88888888888889,61.111111111111114
CRH,70.0,55.00000000000001
CSGP,100.0,100.0
CTVA,95.0,85.0
CVX,72.22222222222221,66.66666666666666
D,40.0,36.666666666666664
DAL,44.44444444444444,48.148148148148145
DD,81.48148148148148,74.07407407407408
DE,74.07407407407408,66.66666666666666
DIS,25.0,50.0
DOV,25.925925925925924,29.629629629629626
DOW,40.0,35.0
DTE,56.666666666666664,86.66666666666667
DUK,36.666666666666664,40.0
DVN,94.44444444444444,100.0
ED,73.33333333333333,76.66666666666667
EIX,66.66666666666666,83.33333333333334
EOG,61.111111111111114,83.33333333333334
EQT,88.88888888888889,38.88888888888889
ES,63.33333333333333,60.0
ETR,23.333333333333332,33.33333333333333
EVRG,13.333333333333334,13.333333333333334
EXC,100.0,73.33333333333333
EXE,66.66666666666666,50.0
F,40.0,80.0
FANG,11.11111111111111,11.11111111111111
FCX,85.0,100.0
FE,70.0,63.33333333333333
FIS,88.46153846153845,92.3076923076923
GE,40.74074074074074,59.25925925925925
GIS,50.0,62.5
GLW,41.66666666666667,25.0
GM,80.0,60.0
GOOG,50.0,25.0
GS,46.15384615384615,53.84615384615385
HAL,77.77777777777779,94.44444444444444
HII,33.33333333333333,3.7037037037037033
HON,70.37037037037037,33.33333333333333
HPQ,58.333333333333336,58.333333333333336
HRL,43.75,50.0
HWM,37.03703703703704,77.77777777777779
IFF,5.0,5.0
INTC,50.0,33.33333333333333
IP,35.0,25.0
IR,92.5925925925926,92.5925925925926
ITW,3.7037037037037033,14.814814814814813
JCI,92.5925925925926,92.5925925925926
JNJ,30.76923076923077,15.384615384615385
KHC,87.5,81.25
KKR,23.076923076923077,23.076923076923077
KMB,25.0,18.75
KMI,5.555555555555555,5.555555555555555
L,15.384615384615385,15.384615384615385
LII,92.5925925925926,92.5925925925926
LIN,60.0,65.0
LLY,84.61538461538461,76.92307692307693
LMT,59.25925925925925,25.925925925925924
LNT,26.666666666666668,20.0
LUV,55.55555555555556,51.85185185185185
LYB,45.0,60.0
MCHP,16.666666666666664,41.66666666666667
MDLZ,96.875,96.875
MGM,60.0,40.0
MLM,30.0,20.0
MMM,22.22222222222222,18.51851851851852
MO,81.25,87.5
MOS,80.0,80.0
MPC,83.33333333333334,72.22222222222221
MRK,61.53846153846154,53.84615384615385
MS,88.46153846153845,92.3076923076923
MU,66.66666666666666,66.66666666666666
NEE,20.0,30.0
NEM,100.0,95.0
NI,80.0,56.666666666666664
NOC,48.148148148148145,44.44444444444444
NRG,86.66666666666667,70.0
NSC,62.96296296296296,55.55555555555556
NTRS,30.76923076923077,30.76923076923077
NUE,75.0,70.0
NWS,87.5,87.5
NXPI,91.66666666666666,91.66666666666666
ODFL,51.85185185185185,40.74074074074074
OKE,33.33333333333333,55.55555555555556
OXY,27.77777777777778,16.666666666666664
PCG,76.66666666666667,80.0
PEG,96.66666666666667,66.66666666666666
PEP,75.0,37.5
PFE,69.23076923076923,46.15384615384615
PG,62.5,56.25
PKG,50.0,45.0
PNW,46.666666666666664,46.666666666666664
PPG,10.0,15.0
PPL,3.3333333333333335,3.3333333333333335
PSX,44.44444444444444,88.88888888888889
QCOM,83.33333333333334,83.33333333333334
RSG,7.4074074074074066,11.11111111111111
RTX,29.629629629629626,81.48148148148148
SJM,68.75,68.75
SO,30.0,26.666666666666668
SRE,90.0,96.66666666666667
STLD,25.0,40.0
SW,55.00000000000001,50.0
SWKS,75.0,75.0
T,87.5,87.5
TAP,6.25,6.25
TGT,96.875,96.875
TMO,53.84615384615385,92.3076923076923
TRGP,22.22222222222222,27.77777777777778
TSLA,20.0,20.0
TSN,37.5,25.0
TT,92.5925925925926,92.5925925925926
TXN,25.0,16.666666666666664
TXT,14.814814814814813,22.22222222222222
VLO,55.55555555555556,77.77777777777779
VST,6.666666666666667,6.666666666666667
VTRS,38.46153846153847,84.61538461538461
WAB,77.77777777777779,70.37037037037037
WEC,50.0,50.0
WFC,69.23076923076923,38.46153846153847
WM,11.11111111111111,7.4074074074074066
WMB,16.666666666666664,22.22222222222222
WY,33.33333333333333,66.66666666666666
XEL,53.333333333333336,90.0
XOM,50.0,33.33333333333333
