ticker,anlagen,freisetzung_lbs,krebs_lbs,company,gics_sector
A,5,11134.150000000001,6276.5,Agilent Technologies,Health Care
ABBV,2,2557.5860000000002,99.13,AbbVie,Health Care
ABT,3,80800.0,0.0,Abbott Laboratories,Health Care
ADI,3,799.8299999999999,0.0,Analog Devices,Information Technology
ADM,33,9017486.859,91979.05,Archer Daniels Midland,Consumer Staples
AEE,4,1246482.1509999998,14671.481,Ameren,Utilities
AEP,9,2498580.59,126432.09,American Electric Power,Utilities
AES,3,565807.9770000001,272.495,AES Corporation,Utilities
ALB,7,297044.8,86522.0,Albemarle Corporation,Materials
AMCR,6,895.0,0.0,Amcor,Materials
AME,16,36304.529,26144.428,Ametek,Industrials
AMGN,1,427.364,427.364,Amgen,Health Care
AOS,6,59939.11,3558.4,A. O. Smith,Industrials
APA,3,0.006,0.006,APA Corporation,Energy
APD,14,642325.361,482812.0,Air Products,Materials
APH,8,82625.887,25812.227,Amphenol,Information Technology
APTV,3,10.349,0.0,Aptiv,Consumer Discretionary
AVGO,1,10809.4,0.0,Broadcom,Information Technology
AVY,7,243424.1,8458.3,Avery Dennison,Materials
BA,12,207398.827,46408.644,Boeing,Industrials
BALL,19,1272620.36,4996.26,Ball Corporation,Materials
BAX,6,374268.9,41596.9,Baxter International,Health Care
BDX,4,118411.6,106180.0,Becton Dickinson,Health Care
BG,3,1489456.696,0.0,Bunge Global,Consumer Staples
BIIB,1,255.0,0.0,Biogen,Health Care
BKR,13,269733.177,17767.963,Baker Hughes,Energy
BMY,2,469.0,0.0,Bristol Myers Squibb,Health Care
BRK-B,171,8943174.688,166645.283,Berkshire Hathaway,Financials
BSX,1,28.05,28.05,Boston Scientific,Health Care
CAG,10,73639.16,0.0,,
CARR,4,1.55,0.0,Carrier Global,Industrials
CAT,25,38265.489,24739.098,Caterpillar Inc.,Industrials
CE,10,883446.59,376312.77,,
CEG,5,52220.498,0.0,Constellation Energy,Utilities
CF,6,13981273.86,16152.0,CF Industries,Materials
CHD,4,45188.56,0.0,Church & Dwight,Consumer Staples
CL,3,1164.3600000000001,0.0,Colgate-Palmolive,Consumer Staples
CLX,5,523.434,0.0,Clorox,Consumer Staples
CMI,8,582.032,1.222,Cummins,Industrials
CMS,2,78421.421,0.521,CMS Energy,Utilities
CNP,2,216625.754,17871.984,CenterPoint Energy,Utilities
COST,1,0.0,0.0,Costco,Consumer Staples
CPB,3,124750.072,163.58,,
CTVA,6,177273.46,46520.479999999996,Corteva,Materials
CVX,27,9984126.022,432708.474,Chevron Corporation,Energy
D,15,907639.01,60360.31,Dominion Energy,Utilities
DAL,1,144485.7,4531.0,Delta Air Lines,Industrials
DD,21,2110857.404,1324060.96,DuPont,Industrials
DE,17,177522.96,12955.613000000001,Deere & Company,Industrials
DHR,15,159990.872,27954.356,Danaher Corporation,Health Care
DOV,19,2335.237,1265.507,Dover Corporation,Industrials
DOW,23,3849945.798,358734.408,Dow Inc.,Materials
DTE,3,4702207.552,163161.192,DTE Energy,Utilities
DUK,15,4016878.339,381375.52900000004,Duke Energy,Utilities
ECL,15,66619.005,1929.45,Ecolab,Materials
ED,1,1.14,1.14,Consolidated Edison,Utilities
EIX,1,151.0,0.0,Edison International,Utilities
