"ticker","name","sector","rank","score","lower_bound","upper_bound","pillars_available","pillars_required","contribution","planning","nature","social","source"
"NEM","Newmont","Materials","1","39.10","39.10","39.10","4","4","0","100","39.5","56","https://www.worldbenchmarkingalliance.org/company/newmont"
"FCX","Freeport-McMoRan","Materials","2","34.84","34.84","34.84","4","4","0","80","33.1","61.1","https://www.worldbenchmarkingalliance.org/company/freeport-mcmoran"
"DD","DuPont","Industrials","3","30.68","30.68","30.68","4","4","0","100","21.9","31.5","https://www.worldbenchmarkingalliance.org/company/dupont"
"LIN","Linde plc","Materials","4","30.24","30.24","30.24","4","4","0","100","24.3","26.9","https://www.worldbenchmarkingalliance.org/company/linde"
"MDLZ","Mondelez International","Consumer Staples","5","28.80","28.80","28.80","4","4","0","60","32.6","51.4","https://www.worldbenchmarkingalliance.org/company/mondelez-international"
"GIS","General Mills","Consumer Staples","6","28.68","28.68","28.68","4","4","0","80","23.1","40.3","https://www.worldbenchmarkingalliance.org/company/general-mills"
"HSY","Hershey Company (The)","Consumer Staples","7","28.34","28.34","28.34","4","4","0","60","29.4","52.3","https://www.worldbenchmarkingalliance.org/company/hershey"
"RL","Ralph Lauren Corporation","Consumer Discretionary","8","28.20","28.20","28.20","4","4","0","60","27.7","53.3","https://www.worldbenchmarkingalliance.org/company/ralph-lauren"
"DOW","Dow Inc.","Materials","9","27.10","27.10","27.10","4","4","0","80","25.9","29.6","https://www.worldbenchmarkingalliance.org/company/dow"
"LYB","LyondellBasell","Materials","10","26.32","26.32","26.32","4","4","0","80","20.6","31","https://www.worldbenchmarkingalliance.org/company/lyondellbasell"
"JNJ","Johnson & Johnson","Health Care","11","26.10","26.10","26.10","4","4","0","60","25.1","45.4","https://www.worldbenchmarkingalliance.org/company/johnson-johnson"
"LULU","Lululemon Athletica","Consumer Discretionary","12","25.32","25.32","25.32","4","4","0","60","20.3","46.3","https://www.worldbenchmarkingalliance.org/company/lululemon-athletica"
"KHC","Kraft Heinz","Consumer Staples","13","24.40","24.40","24.40","4","4","0","60","19.9","42.1","https://www.worldbenchmarkingalliance.org/company/kraft-heinz"
"IP","International Paper","Materials","14","24.28","24.28","24.28","4","4","0","60","34.5","26.9","https://www.worldbenchmarkingalliance.org/company/international-paper"
"CL","Colgate-Palmolive","Consumer Staples","15","23.98","23.98","23.98","4","4","0","80","19.5","20.4","https://www.worldbenchmarkingalliance.org/company/colgate-palmolive"
"KR","Kroger","Consumer Staples","16","23.80","23.80","23.80","4","4","0","40","25.3","53.7","https://www.worldbenchmarkingalliance.org/company/kroger"
"BAX","Baxter International","Health Care","17","23.64","23.64","23.64","4","4","0","80","18.7","19.5","https://www.worldbenchmarkingalliance.org/company/baxter-international"
"BMY","Bristol Myers Squibb","Health Care","18","23.56","23.56","23.56","4","4","0","80","16","21.8","https://www.worldbenchmarkingalliance.org/company/bristol-myers-squibb"
"BALL","Ball Corporation","Materials","19","23.54","23.54","23.54","4","4","0","60","19.7","38","https://www.worldbenchmarkingalliance.org/company/ball-corporation"
"AMCR","Amcor","Materials","20","23.44","23.44","23.44","4","4","0","60","20.6","36.6","https://www.worldbenchmarkingalliance.org/company/amcor"
"KMB","Kimberly-Clark","Consumer Staples","20","23.44","23.44","23.44","4","4","0","60","22","35.2","https://www.worldbenchmarkingalliance.org/company/kimberly-clark"
"MCD","McDonald's","Consumer Discretionary","22","22.76","22.76","22.76","4","4","0","60","16.3","37.5","https://www.worldbenchmarkingalliance.org/company/mcdonalds"
"CLX","Clorox","Consumer Staples","23","21.70","21.70","21.70","4","4","0","60","17.5","31","https://www.worldbenchmarkingalliance.org/company/clorox-company"
"COST","Costco","Consumer Staples","24","21.60","21.60","21.60","4","4","0","80","10.4","17.6","https://www.worldbenchmarkingalliance.org/company/costco"
"ALB","Albemarle Corporation","Materials","25","21.56","21.56","21.56","4","4","0","40","23.8","44","https://www.worldbenchmarkingalliance.org/company/albemarle-corporation"
"TAP","Molson Coors Beverage Company","Consumer Staples","26","20.80","20.80","20.80","4","4","0","60","14.8","29.2","https://www.worldbenchmarkingalliance.org/company/molson-coors"
"STLD","Steel Dynamics","Materials","27","20.76","20.76","20.76","4","4","0","60","13.2","30.6","https://www.worldbenchmarkingalliance.org/company/steel-dynamics"
"KDP","Keurig Dr Pepper","Consumer Staples","28","20.72","20.72","20.72","4","4","0","60","24.6","19","https://www.worldbenchmarkingalliance.org/company/keurig-dr-pepper"
"MKC","McCormick & Company","Consumer Staples","29","20.66","20.66","20.66","4","4","0","60","21.1","22.2","https://www.worldbenchmarkingalliance.org/company/mccormick"
"PEP","PepsiCo","Consumer Staples","30","20.42","20.42","20.42","4","4","0","60","15.7","26.4","https://www.worldbenchmarkingalliance.org/company/pepsico"
"CF","CF Industries","Materials","31","20.16","20.16","20.16","4","4","0","40","25.6","35.2","https://www.worldbenchmarkingalliance.org/company/cf-industries"
"MRNA","Moderna","Health Care","32","19.96","19.96","19.96","4","4","0","60","13.4","26.4","https://www.worldbenchmarkingalliance.org/company/moderna"
"TJX","TJX Companies","Consumer Discretionary","33","19.82","19.82","19.82","4","4","0","60","12.2","26.9","https://www.worldbenchmarkingalliance.org/company/tjx-companies"
"MOS","Mosaic Company (The)","Materials","34","19.80","19.80","19.80","4","4","0","40","22","37","https://www.worldbenchmarkingalliance.org/company/mosaic"
"SW","Smurfit Westrock","Materials","35","19.68","19.68","19.68","4","4","0","60","16.6","21.8","https://www.worldbenchmarkingalliance.org/company/smurfit-westrock"
"GILD","Gilead Sciences","Health Care","36","19.54","19.54","19.54","4","4","0","60","15","22.7","https://www.worldbenchmarkingalliance.org/company/gilead-sciences"
"EL","Estée Lauder Companies (The)","Consumer Staples","37","19.28","19.28","19.28","4","4","0","40","22.1","34.3","https://www.worldbenchmarkingalliance.org/company/estee-lauder-companies"
"NUE","Nucor","Materials","38","19.24","19.24","19.24","4","4","0","60","13.5","22.7","https://www.worldbenchmarkingalliance.org/company/nucor"
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","39","19.06","19.06","19.06","4","4","0","60","15.4","19.9","https://www.worldbenchmarkingalliance.org/company/norwegian-cruise-line-holdings"
"SYY","Sysco","Consumer Staples","40","19.02","19.02","19.02","4","4","0","40","15.3","39.8","https://www.worldbenchmarkingalliance.org/company/sysco"
"WMT","Walmart","Consumer Staples","41","18.94","18.94","18.94","4","4","0","60","13.4","21.3","https://www.worldbenchmarkingalliance.org/company/walmart"
"MLM","Martin Marietta Materials","Materials","42","18.86","18.86","18.86","4","4","0","60","12.5","21.8","https://www.worldbenchmarkingalliance.org/company/martin-marietta"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","43","18.80","18.80","18.80","4","4","0","60","16.4","17.6","https://www.worldbenchmarkingalliance.org/company/chipotle-mexican-grill"
"SHW","Sherwin-Williams","Materials","44","18.18","18.18","18.18","4","4","0","40","21.7","29.2","https://www.worldbenchmarkingalliance.org/company/sherwin-williams"
"AVY","Avery Dennison","Materials","45","18.14","18.14","18.14","4","4","0","40","19.7","31","https://www.worldbenchmarkingalliance.org/company/avery-dennison-corporation"
"SBUX","Starbucks","Consumer Discretionary","46","17.80","17.80","17.80","4","4","0","40","18.4","30.6","https://www.worldbenchmarkingalliance.org/company/starbucks"
"AMGN","Amgen","Health Care","47","17.76","17.76","17.76","4","4","0","60","14.9","13.9","https://www.worldbenchmarkingalliance.org/company/amgen"
"ABBV","AbbVie","Health Care","48","17.64","17.64","17.64","4","4","0","40","16.7","31.5","https://www.worldbenchmarkingalliance.org/company/abbvie"
"NKE","Nike, Inc.","Consumer Discretionary","48","17.64","17.64","17.64","4","4","0","40","15.3","32.9","https://www.worldbenchmarkingalliance.org/company/nike"
"HRL","Hormel Foods","Consumer Staples","50","17.60","17.60","17.60","4","4","0","40","17.9","30.1","https://www.worldbenchmarkingalliance.org/company/hormel-foods"
"PFE","Pfizer","Health Care","51","17.30","17.30","17.30","4","4","0","60","14","12.5","https://www.worldbenchmarkingalliance.org/company/pfizer"
"TPR","Tapestry, Inc.","Consumer Discretionary","52","17.08","17.08","17.08","4","4","0","40","22.7","22.7","https://www.worldbenchmarkingalliance.org/company/tapestry"
"WY","Weyerhaeuser","Real Estate","53","16.90","16.90","16.90","4","4","0","40","25.1","19.4","https://www.worldbenchmarkingalliance.org/company/weyerhaeuser"
"MMM","3M","Industrials","54","16.88","16.88","16.88","4","4","0","40","20.8","23.6","https://www.worldbenchmarkingalliance.org/company/3m"
"PPG","PPG Industries","Materials","55","16.86","16.86","16.86","4","4","0","40","18.8","25.5","https://www.worldbenchmarkingalliance.org/company/ppg-industries"
"CCL","Carnival Corporation","Consumer Discretionary","56","16.76","16.76","16.76","4","4","0","40","16","27.8","https://www.worldbenchmarkingalliance.org/company/carnival-corporation"
"RCL","Royal Caribbean Group","Consumer Discretionary","57","16.10","16.10","16.10","4","4","0","40","14.6","25.9","https://www.worldbenchmarkingalliance.org/company/royal-caribbean-group"
"BIIB","Biogen","Health Care","58","15.92","15.92","15.92","4","4","0","40","16","23.6","https://www.worldbenchmarkingalliance.org/company/biogen"
"KO","Coca-Cola Company (The)","Consumer Staples","59","15.58","15.58","15.58","4","4","0","40","10.1","27.8","https://www.worldbenchmarkingalliance.org/company/coca-cola-company"
"PG","Procter & Gamble","Consumer Staples","60","14.70","14.70","14.70","4","4","0","40","14.1","19.4","https://www.worldbenchmarkingalliance.org/company/procter-gamble"
"YUM","Yum! Brands","Consumer Discretionary","61","14.52","14.52","14.52","4","4","0","40","16.9","15.7","https://www.worldbenchmarkingalliance.org/company/yum-brands"
"GEV","GE Vernova","Industrials","62","14.06","14.06","14.06","4","4","0","40","9.9","20.4","https://www.worldbenchmarkingalliance.org/company/ge-vernova"
"SJM","J.M. Smucker Company (The)","Consumer Staples","63","13.82","13.82","13.82","4","4","0","20","12","37.1","https://www.worldbenchmarkingalliance.org/company/jm-smucker"
"MNST","Monster Beverage","Consumer Staples","64","12.92","12.92","12.92","4","4","0","40","7.9","16.7","https://www.worldbenchmarkingalliance.org/company/monster-beverage"
"STZ","Constellation Brands","Consumer Staples","65","12.46","12.46","12.46","4","4","0","40","8.4","13.9","https://www.worldbenchmarkingalliance.org/company/constellation-brands"
"ROST","Ross Stores","Consumer Discretionary","66","10.94","10.94","10.94","4","4","0","40","5.4","9.3","https://www.worldbenchmarkingalliance.org/company/ross-stores"
