"ticker","name","sector","rank","score","lower_bound","upper_bound","pillars_available","pillars_required","contribution","planning","nature","social","source"
"TGT","Target Corporation","Consumer Staples","1","52.35","52.35","52.35","3","3","50","100","","24.5","https://www.worldbenchmarkingalliance.org/company/target"
"F","Ford Motor Company","Consumer Discretionary","2","37.22","37.22","37.22","3","3","0","100","","57.4","https://www.worldbenchmarkingalliance.org/company/ford"
"NEM","Newmont","Materials","3","36.80","36.80","36.80","3","3","0","100","39.5","56","https://www.worldbenchmarkingalliance.org/company/newmont"
"FCX","Freeport-McMoRan","Materials","4","34.33","34.33","34.33","3","3","0","80","33.1","61.1","https://www.worldbenchmarkingalliance.org/company/freeport-mcmoran"
"HPQ","HP Inc.","Information Technology","5","31.74","31.74","31.74","3","3","0","60","","65.8","https://www.worldbenchmarkingalliance.org/company/hp"
"VZ","Verizon","Communication Services","6","30.16","30.16","30.16","3","3","0","80","","47.2","https://www.worldbenchmarkingalliance.org/company/verizon"
"DD","DuPont","Industrials","7","29.45","29.45","29.45","3","3","0","100","21.9","31.5","https://www.worldbenchmarkingalliance.org/company/dupont"
"CMS","CMS Energy","Utilities","8","29.30","29.30","29.30","3","3","0","100","","31","https://www.worldbenchmarkingalliance.org/company/cms-energy"
"GIS","General Mills","Consumer Staples","9","28.09","28.09","28.09","3","3","0","80","23.1","40.3","https://www.worldbenchmarkingalliance.org/company/general-mills"
"LIN","Linde plc","Materials","10","28.07","28.07","28.07","3","3","0","100","24.3","26.9","https://www.worldbenchmarkingalliance.org/company/linde"
"RL","Ralph Lauren Corporation","Consumer Discretionary","11","27.99","27.99","27.99","3","3","0","60","27.7","53.3","https://www.worldbenchmarkingalliance.org/company/ralph-lauren"
"HSY","Hershey Company (The)","Consumer Staples","12","27.69","27.69","27.69","3","3","0","60","29.4","52.3","https://www.worldbenchmarkingalliance.org/company/hershey"
"MDLZ","Mondelez International","Consumer Staples","13","27.42","27.42","27.42","3","3","0","60","32.6","51.4","https://www.worldbenchmarkingalliance.org/company/mondelez-international"
"NXPI","NXP Semiconductors","Information Technology","14","27.00","27.00","27.00","3","3","0","60","","50","https://www.worldbenchmarkingalliance.org/company/nxp-semiconductors"
"CSCO","Cisco","Information Technology","15","26.46","26.46","26.46","3","3","0","60","","48.2","https://www.worldbenchmarkingalliance.org/company/cisco"
"MSFT","Microsoft","Information Technology","16","26.31","26.31","26.31","3","3","0","60","","47.7","https://www.worldbenchmarkingalliance.org/company/microsoft"
"LULU","Lululemon Athletica","Consumer Discretionary","17","25.89","25.89","25.89","3","3","0","60","20.3","46.3","https://www.worldbenchmarkingalliance.org/company/lululemon-athletica"
"TEL","TE Connectivity","Information Technology","17","25.89","25.89","25.89","3","3","0","60","","46.3","https://www.worldbenchmarkingalliance.org/company/te-connectivity"
"JNJ","Johnson & Johnson","Health Care","19","25.62","25.62","25.62","3","3","0","60","25.1","45.4","https://www.worldbenchmarkingalliance.org/company/johnson-johnson"
"CRH","CRH plc","Materials","20","25.47","25.47","25.47","3","3","0","60","","44.9","https://www.worldbenchmarkingalliance.org/company/crh"
