ticker,company,gics_sector,n_values,E_score,E_families,E_family_list,E_anchor,E_level,S_score,S_families,S_family_list,S_anchor,S_level,G_score,G_families,G_family_list,G_anchor,G_level,e_band_width,n_reliable
MMM,3M,Industrials,37,2.3,4,"ghg, klimaziele, natur, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,32.02614379084967,3
AOS,A. O. Smith,Industrials,19,0.8,1,schadstoffe,True,eingeschränkt,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,0.2,1,lieferkette,False,dünn,,1
ABT,Abbott Laboratories,Health Care,18,1.6,2,"ghg, schadstoffe",True,belastbar,0.0,0,,False,keine,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,40.0,1
ABBV,AbbVie,Health Care,35,3.1,5,"effizienz, ghg, klimaziele, natur, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,30.0,2
ACN,Accenture,Information Technology,22,0.3,1,klimaziele,False,dünn,1.1,2,"lohnrecht, sozialbewertung",False,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
ADBE,Adobe Inc.,Information Technology,17,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.7,2,"lieferkette, zusagen",False,dünn,,0
AMD,Advanced Micro Devices,Information Technology,12,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
AES,AES Corporation,Utilities,27,2.1,3,"ghg, klimaziele, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,33.33333333333333,1
AFL,Aflac,Financials,5,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
A,Agilent Technologies,Health Care,22,1.1,2,"klimaziele, schadstoffe",True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
APD,Air Products,Materials,21,1.6,2,"ghg, schadstoffe",True,belastbar,1.0,1,arbeitssicherheit,True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,16.666666666666668,1
ABNB,Airbnb,Consumer Discretionary,15,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.7,2,"lieferkette, zusagen",False,dünn,,0
AKAM,Akamai Technologies,Information Technology,11,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
ALB,Albemarle Corporation,Materials,28,2.3,4,"ghg, klimaziele, natur, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,11.1111111111111,1
ARE,Alexandria Real Estate Equities,Real Estate,10,0.0,0,,False,keine,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
ALGN,Align Technology,Health Care,11,0.0,0,,False,keine,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
ALLE,Allegion,Industrials,11,0.0,0,,False,keine,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
LNT,Alliant Energy,Utilities,21,2.6,3,"effizienz, ghg, schadstoffe",True,belastbar,0.0,0,,False,keine,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,28.042328042328037,1
ALL,Allstate,Financials,16,0.3,1,klimaziele,False,dünn,1.1,2,"lohnrecht, sozialbewertung",False,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
GOOGL,Alphabet Inc. (Class A),Communication Services,28,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,1
GOOG,Alphabet Inc. (Class C),Communication Services,0,0.0,0,,False,keine,0.0,0,,False,keine,0.0,0,,False,keine,0.0,0
MO,Altria,Consumer Staples,28,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,1.0,1,arbeitssicherheit,True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,15.384615384615373,2
AMZN,Amazon,Consumer Discretionary,24,0.3,1,klimaziele,False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,1
AMCR,Amcor,Materials,25,1.5,3,"klimaziele, natur, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,1
AEE,Ameren,Utilities,26,2.6,3,"effizienz, ghg, schadstoffe",True,belastbar,1.0,1,arbeitssicherheit,True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,46.66666666666666,1
AEP,American Electric Power,Utilities,25,2.6,3,"effizienz, ghg, schadstoffe",True,belastbar,1.0,1,arbeitssicherheit,True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,28.571428571428584,1
AXP,American Express,Financials,27,0.3,1,klimaziele,False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,1
AIG,American International Group,Financials,15,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.7,2,"lieferkette, zusagen",False,dünn,,0
AMT,American Tower,Real Estate,20,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
AWK,American Water Works,Utilities,16,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
AMP,Ameriprise Financial,Financials,8,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.2,1,lieferkette,False,dünn,,0
AME,Ametek,Industrials,14,0.8,1,schadstoffe,True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
AMGN,Amgen,Health Care,31,2.3,4,"ghg, klimaziele, natur, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,10.0,2
APH,Amphenol,Information Technology,23,1.1,2,"klimaziele, schadstoffe",True,eingeschränkt,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.2,1,lieferkette,False,dünn,,1
ADI,Analog Devices,Information Technology,31,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,18.18181818181818,2
AON,Aon plc,Financials,15,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.7,2,"lieferkette, zusagen",False,dünn,,0
APA,APA Corporation,Energy,28,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,,2
APO,Apollo Global Management,Financials,9,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.2,1,lieferkette,False,dünn,,0
AAPL,Apple Inc.,Information Technology,27,0.3,1,klimaziele,False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,1
AMAT,Applied Materials,Information Technology,22,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
APP,AppLovin,Communication Services,7,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
APTV,Aptiv,Consumer Discretionary,19,1.1,2,"klimaziele, schadstoffe",True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
ACGL,Arch Capital Group,Financials,4,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
ADM,Archer Daniels Midland,Consumer Staples,29,2.7,4,"effizienz, ghg, klimaziele, schadstoffe",True,belastbar,1.0,1,arbeitssicherheit,True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,8.974358974358971,2
ARES,Ares Management,Financials,12,0.8,1,ghg,True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,2.3809523809523796,0
ANET,Arista Networks,Information Technology,11,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
AJG,Arthur J. Gallagher & Co.,Financials,5,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
AIZ,Assurant,Financials,5,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
T,AT&T,Communication Services,28,0.3,1,klimaziele,False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,,2
ATO,Atmos Energy,Utilities,17,0.8,1,ghg,True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,18.518518518518533,0
ADSK,Autodesk,Information Technology,12,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
ADP,Automatic Data Processing,Industrials,12,0.0,0,,False,keine,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
AZO,AutoZone,Consumer Discretionary,25,0.3,1,klimaziele,False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,,1
AVY,Avery Dennison,Materials,30,1.5,3,"klimaziele, natur, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,2
AXON,Axon Enterprise,Industrials,6,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
BKR,Baker Hughes,Energy,13,0.8,1,schadstoffe,True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
BALL,Ball Corporation,Materials,28,1.5,3,"klimaziele, natur, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,2
BAC,Bank of America,Financials,9,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.2,1,lieferkette,False,dünn,,0
BAX,Baxter International,Health Care,31,2.3,4,"ghg, klimaziele, natur, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,,2
BDX,Becton Dickinson,Health Care,19,0.8,1,schadstoffe,True,eingeschränkt,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,0.2,1,lieferkette,False,dünn,,1
BRK-B,Berkshire Hathaway,Financials,34,2.9,4,"effizienz, ghg, klimaziele, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,28.571428571428584,2
BBY,Best Buy,Consumer Discretionary,16,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.7,2,"lieferkette, zusagen",False,dünn,,0
TECH,Bio-Techne,Health Care,16,0.3,1,klimaziele,False,dünn,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
BIIB,Biogen,Health Care,29,2.3,4,"ghg, klimaziele, natur, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,40.0,2
BLK,BlackRock,Financials,18,1.1,2,"ghg, klimaziele",True,eingeschränkt,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.2,1,lieferkette,False,dünn,28.571428571428584,0
BX,Blackstone Inc.,Financials,14,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
XYZ,"Block, Inc.",Financials,20,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
BNY,BNY Mellon,Financials,10,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.2,1,lieferkette,False,dünn,,0
BA,Boeing,Industrials,32,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,49.99999999999999,2
BKNG,Booking Holdings,Consumer Discretionary,15,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.7,2,"lieferkette, zusagen",False,dünn,,0
BSX,Boston Scientific,Health Care,20,1.1,2,"klimaziele, schadstoffe",True,eingeschränkt,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
BMY,Bristol Myers Squibb,Health Care,36,3.1,5,"effizienz, ghg, klimaziele, natur, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,40.99999999999994,2
AVGO,Broadcom,Information Technology,29,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,22.222222222222214,2
BR,Broadridge Financial Solutions,Industrials,17,0.3,1,klimaziele,False,dünn,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
BRO,Brown & Brown,Financials,11,0.0,0,,False,keine,0.7,1,lohnrecht,False,dünn,0.2,1,lieferkette,False,dünn,,0
BF-B,Brown–Forman,Consumer Staples,23,1.5,3,"ghg, klimaziele, natur",True,belastbar,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,15.384615384615387,1
BLDR,Builders FirstSource,Industrials,21,0.7,2,"klimaziele, natur",False,dünn,2.1,3,"arbeitssicherheit, lohnrecht, sozialbewertung",True,belastbar,0.2,1,lieferkette,False,dünn,,1
BG,Bunge Global,Consumer Staples,26,1.9,3,"ghg, klimaziele, schadstoffe",True,belastbar,1.0,1,arbeitssicherheit,True,eingeschränkt,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,46.153846153846146,2
BXP,"BXP, Inc.",Real Estate,10,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
CHRW,C.H. Robinson,Industrials,16,0.0,0,,False,keine,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,0.2,1,lieferkette,False,dünn,,1
CDNS,Cadence Design Systems,Information Technology,12,0.3,1,klimaziele,False,dünn,0.0,0,,False,keine,0.7,2,"lieferkette, zusagen",False,dünn,,0
CPT,Camden Property Trust,Real Estate,4,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
COF,Capital One,Financials,9,0.3,1,klimaziele,False,dünn,0.4,1,sozialbewertung,False,dünn,0.2,1,lieferkette,False,dünn,,0
CAH,Cardinal Health,Health Care,22,0.3,1,klimaziele,False,dünn,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,0.7,2,"lieferkette, zusagen",False,dünn,,1
CCL,Carnival Corporation,Consumer Discretionary,11,0.7,2,"klimaziele, natur",False,dünn,0.4,1,sozialbewertung,False,dünn,0.2,1,lieferkette,False,dünn,,0
CARR,Carrier Global,Industrials,29,1.1,2,"klimaziele, schadstoffe",True,eingeschränkt,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,1.7,3,"lieferkette, regeltreue, zusagen",True,belastbar,,2
CVNA,Carvana,Consumer Discretionary,11,0.0,0,,False,keine,1.0,1,arbeitssicherheit,True,eingeschränkt,0.2,1,lieferkette,False,dünn,,0
CASY,Casey's,Consumer Staples,16,0.0,0,,False,keine,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,0.2,1,lieferkette,False,dünn,,1
CAT,Caterpillar Inc.,Industrials,26,1.6,2,"ghg, schadstoffe",True,belastbar,1.7,2,"arbeitssicherheit, lohnrecht",True,belastbar,1.2,2,"lieferkette, regeltreue",True,eingeschränkt,28.006535947712393,2
CBOE,Cboe Global Markets,Financials,6,0.0,0,,False,keine,0.0,0,,False,keine,0.2,1,lieferkette,False,dünn,,0
CBRE,CBRE Group,Real Estate,20,0.3,1,klimaziele,False,dünn,1.4,2,"arbeitssicherheit, sozialbewertung",True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
CDW,CDW Corporation,Information Technology,16,0.3,1,klimaziele,False,dünn,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
COR,Cencora,Health Care,16,0.3,1,klimaziele,False,dünn,1.0,1,arbeitssicherheit,True,eingeschränkt,0.7,2,"lieferkette, zusagen",False,dünn,,0
